Disease,Symptoms,Severity
Migraine,"severe headache,vomiting,dizziness,light sensitivity,nausea,blurred vision",Medium
Migraine,"severe headache,nausea,light sensitivity",Medium
Migraine,"nausea,dizziness,blurred vision,vomiting,light sensitivity,severe headache",Medium
Migraine,"blurred vision,nausea,severe headache",Medium
Migraine,"severe headache,dizziness,vomiting,blurred vision,light sensitivity,nausea",Medium
Migraine,"vomiting,nausea,severe headache,light sensitivity,blurred vision,dizziness",Medium
Migraine,"severe headache,blurred vision,nausea,vomiting",Medium
Migraine,"dizziness,nausea,severe headache",Medium
Migraine,"blurred vision,nausea,severe headache,dizziness",Medium
Migraine,"vomiting,dizziness,blurred vision,severe headache,light sensitivity,nausea",Medium
Migraine,"light sensitivity,nausea,severe headache",Medium
Migraine,"severe headache,dizziness,nausea,light sensitivity",Medium
Migraine,"light sensitivity,vomiting,dizziness,severe headache,nausea",Medium
Migraine,"severe headache,blurred vision,nausea,dizziness",Medium
Migraine,"vomiting,severe headache,blurred vision,dizziness,nausea,light sensitivity",Medium
Migraine,"dizziness,blurred vision,severe headache,light sensitivity,vomiting,nausea",Medium
Migraine,"light sensitivity,nausea,severe headache,dizziness",Medium
Migraine,"vomiting,light sensitivity,nausea,severe headache,blurred vision,dizziness",Medium
Migraine,"dizziness,light sensitivity,nausea,vomiting,blurred vision,severe headache",Medium
Migraine,"severe headache,light sensitivity,nausea,blurred vision,dizziness",Medium
Migraine,"severe headache,nausea,blurred vision",Medium
Migraine,"vomiting,nausea,severe headache,dizziness,blurred vision",Medium
Migraine,"nausea,blurred vision,vomiting,light sensitivity,dizziness,severe headache",Medium
Migraine,"blurred vision,light sensitivity,nausea,severe headache,dizziness,vomiting",Medium
Migraine,"severe headache,blurred vision,nausea",Medium
Migraine,"severe headache,blurred vision,nausea,light sensitivity,vomiting",Medium
Migraine,"light sensitivity,dizziness,blurred vision,vomiting,nausea,severe headache",Medium
Migraine,"vomiting,light sensitivity,nausea,blurred vision,severe headache,dizziness",Medium
Migraine,"nausea,severe headache,dizziness,blurred vision",Medium
Migraine,"severe headache,vomiting,nausea",Medium
Migraine,"nausea,light sensitivity,severe headache,blurred vision,vomiting,dizziness",Medium
Migraine,"nausea,light sensitivity,vomiting,severe headache,dizziness",Medium
Hypertension,"dizziness,headache,blurred vision",Medium
Hypertension,"dizziness,fatigue,nosebleed,chest pain,headache",Medium
Hypertension,"dizziness,nosebleed,chest pain,headache,blurred vision,fatigue",Medium
Hypertension,"chest pain,dizziness,fatigue,headache,blurred vision",Medium
Hypertension,"dizziness,blurred vision,headache",Medium
Hypertension,"dizziness,nosebleed,headache,fatigue,chest pain",Medium
Hypertension,"headache,fatigue,blurred vision,chest pain,nosebleed,dizziness",Medium
Hypertension,"fatigue,headache,blurred vision,dizziness,nosebleed",Medium
Hypertension,"headache,fatigue,dizziness,nosebleed,blurred vision",Medium
Hypertension,"dizziness,fatigue,nosebleed,headache,chest pain",Medium
Hypertension,"headache,fatigue,nosebleed,dizziness,blurred vision",Medium
Hypertension,"fatigue,headache,chest pain,dizziness,blurred vision",Medium
Hypertension,"blurred vision,headache,dizziness",Medium
Hypertension,"fatigue,headache,nosebleed,blurred vision,dizziness",Medium
Hypertension,"nosebleed,dizziness,headache",Medium
Hypertension,"fatigue,headache,nosebleed,dizziness",Medium
Hypertension,"headache,chest pain,dizziness,fatigue,nosebleed",Medium
Hypertension,"dizziness,fatigue,blurred vision,headache",Medium
Hypertension,"headache,blurred vision,nosebleed,dizziness,fatigue",Medium
Hypertension,"chest pain,blurred vision,fatigue,headache,dizziness,nosebleed",Medium
Hypertension,"blurred vision,dizziness,nosebleed,headache,chest pain",Medium
Hypertension,"chest pain,blurred vision,fatigue,nosebleed,headache,dizziness",Medium
Hypertension,"nosebleed,blurred vision,dizziness,headache",Medium
Hypertension,"headache,blurred vision,fatigue,dizziness,nosebleed",Medium
Hypertension,"dizziness,fatigue,chest pain,headache,blurred vision",Medium
Hypertension,"dizziness,headache,nosebleed,blurred vision,chest pain",Medium
Hypertension,"chest pain,headache,dizziness",Medium
Hypertension,"headache,dizziness,blurred vision",Medium
Hypertension,"fatigue,blurred vision,nosebleed,chest pain,headache,dizziness",Medium
Hypertension,"blurred vision,dizziness,headache",Medium
Hypertension,"dizziness,headache,nosebleed",Medium
Hypertension,"nosebleed,headache,fatigue,dizziness,blurred vision,chest pain",Medium
Hypertension,"headache,dizziness,nosebleed",Medium
Hypertension,"fatigue,dizziness,chest pain,blurred vision,headache",Medium
Hypertension,"headache,blurred vision,dizziness",Medium
Hypertension,"blurred vision,chest pain,fatigue,nosebleed,headache,dizziness",Medium
Hypertension,"dizziness,headache,blurred vision,nosebleed,fatigue",Medium
Hypertension,"chest pain,blurred vision,headache,dizziness",Medium
Hypertension,"headache,blurred vision,fatigue,dizziness",Medium
Hypertension,"chest pain,nosebleed,dizziness,blurred vision,fatigue,headache",Medium
Hypertension,"headache,dizziness,nosebleed",Medium
Hypertension,"headache,dizziness,nosebleed,blurred vision",Medium
Hypertension,"nosebleed,chest pain,headache,fatigue,dizziness",Medium
Hypertension,"dizziness,blurred vision,headache",Medium
Hypertension,"dizziness,fatigue,headache,blurred vision",Medium
Hypertension,"headache,chest pain,dizziness,fatigue",Medium
Hypertension,"dizziness,headache,fatigue",Medium
Hypertension,"dizziness,nosebleed,headache",Medium
Hypertension,"dizziness,headache,fatigue",Medium
Hypertension,"dizziness,nosebleed,headache",Medium
Hypotension,"dizziness,fatigue,nausea,low blood pressure,blurred vision",Medium
Hypotension,"low blood pressure,fatigue,dizziness,blurred vision,fainting",Medium
Hypotension,"blurred vision,fainting,low blood pressure,nausea,dizziness,fatigue",Medium
Hypotension,"dizziness,nausea,fatigue,fainting,low blood pressure",Medium
Hypotension,"fatigue,nausea,blurred vision,dizziness,low blood pressure,fainting",Medium
Hypotension,"dizziness,low blood pressure,nausea,fainting,fatigue,blurred vision",Medium
Hypotension,"dizziness,fainting,low blood pressure",Medium
Hypotension,"nausea,dizziness,low blood pressure,fatigue,fainting",Medium
Hypotension,"fatigue,nausea,low blood pressure,dizziness,fainting",Medium
Hypotension,"dizziness,nausea,low blood pressure,blurred vision,fatigue",Medium
Hypotension,"fatigue,nausea,fainting,low blood pressure,dizziness",Medium
Hypotension,"blurred vision,low blood pressure,fainting,nausea,dizziness",Medium
Hypotension,"nausea,low blood pressure,dizziness",Medium
Hypotension,"dizziness,nausea,fainting,fatigue,blurred vision,low blood pressure",Medium
Hypotension,"low blood pressure,nausea,fatigue,fainting,dizziness",Medium
Hypotension,"low blood pressure,nausea,blurred vision,dizziness,fainting",Medium
Hypotension,"low blood pressure,fainting,dizziness,blurred vision",Medium
Hypotension,"dizziness,blurred vision,fatigue,low blood pressure",Medium
Hypotension,"blurred vision,low blood pressure,dizziness",Medium
Hypotension,"dizziness,nausea,blurred vision,low blood pressure,fatigue",Medium
Hypotension,"blurred vision,dizziness,fatigue,low blood pressure,nausea",Medium
Hypotension,"dizziness,blurred vision,fainting,fatigue,low blood pressure",Medium
Hypotension,"dizziness,low blood pressure,nausea,fatigue",Medium
Hypotension,"nausea,fainting,blurred vision,fatigue,dizziness,low blood pressure",Medium
Hypotension,"dizziness,fatigue,blurred vision,low blood pressure",Medium
Hypotension,"dizziness,low blood pressure,nausea,fainting,blurred vision",Medium
Hypotension,"dizziness,blurred vision,low blood pressure",Medium
Hypotension,"dizziness,low blood pressure,blurred vision",Medium
Hypotension,"fatigue,dizziness,low blood pressure,nausea,blurred vision,fainting",Medium
Hypotension,"dizziness,fainting,low blood pressure,blurred vision",Medium
Hypotension,"dizziness,blurred vision,low blood pressure,fainting",Medium
Hypotension,"nausea,fainting,low blood pressure,fatigue,dizziness",Medium
Hypotension,"fatigue,blurred vision,low blood pressure,dizziness",Medium
Hypotension,"nausea,low blood pressure,blurred vision,fatigue,dizziness,fainting",Medium
Hypotension,"blurred vision,fainting,fatigue,dizziness,low blood pressure",Medium
Hypotension,"fainting,low blood pressure,dizziness",Medium
Hypotension,"low blood pressure,dizziness,fatigue,blurred vision,fainting",Medium
Hypotension,"dizziness,fainting,fatigue,blurred vision,low blood pressure",Medium
Hypotension,"low blood pressure,fainting,dizziness,nausea",Medium
Hypotension,"fatigue,dizziness,nausea,low blood pressure,blurred vision",Medium
Hypotension,"nausea,dizziness,low blood pressure,blurred vision,fainting,fatigue",Medium
Hypotension,"dizziness,blurred vision,low blood pressure,nausea,fainting",Medium
Hypotension,"low blood pressure,fatigue,dizziness",Medium
Hypotension,"nausea,fainting,dizziness,blurred vision,fatigue,low blood pressure",Medium
Hypotension,"dizziness,fainting,nausea,low blood pressure",Medium
Hypotension,"dizziness,low blood pressure,nausea,fainting,fatigue,blurred vision",Medium
Hypotension,"blurred vision,nausea,low blood pressure,fainting,dizziness",Medium
Hypotension,"blurred vision,nausea,low blood pressure,dizziness",Medium
Hypotension,"blurred vision,dizziness,fainting,low blood pressure",Medium
Hypotension,"nausea,low blood pressure,dizziness",Medium
Diabetes,"blurred vision,increased appetite,frequent urination,weight loss,increased thirst",High
Diabetes,"frequent urination,increased thirst,increased appetite",High
Diabetes,"frequent urination,increased thirst,increased appetite,weight loss,blurred vision",High
Diabetes,"increased thirst,frequent urination,weight loss,blurred vision,fatigue,increased appetite",High
Diabetes,"increased thirst,frequent urination,fatigue",High
Diabetes,"fatigue,frequent urination,increased thirst",High
Diabetes,"increased thirst,frequent urination,weight loss",High
Diabetes,"frequent urination,blurred vision,fatigue,increased thirst,weight loss",High
Diabetes,"blurred vision,frequent urination,fatigue,weight loss,increased thirst",High
Diabetes,"frequent urination,blurred vision,increased appetite,increased thirst",High
Diabetes,"blurred vision,fatigue,frequent urination,weight loss,increased thirst,increased appetite",High
Diabetes,"weight loss,fatigue,blurred vision,frequent urination,increased appetite,increased thirst",High
Diabetes,"increased thirst,blurred vision,frequent urination,increased appetite",High
Diabetes,"blurred vision,increased appetite,increased thirst,weight loss,frequent urination",High
Diabetes,"increased appetite,increased thirst,frequent urination,blurred vision,fatigue,weight loss",High
Diabetes,"increased thirst,frequent urination,increased appetite",High
Diabetes,"increased thirst,fatigue,frequent urination,blurred vision",High
Diabetes,"frequent urination,fatigue,increased appetite,blurred vision,increased thirst",High
Diabetes,"frequent urination,increased thirst,weight loss,increased appetite,blurred vision",High
Diabetes,"fatigue,increased thirst,frequent urination",High
Diabetes,"blurred vision,increased thirst,frequent urination",High
Diabetes,"frequent urination,weight loss,increased thirst,fatigue",High
Diabetes,"frequent urination,increased thirst,blurred vision,increased appetite",High
Diabetes,"weight loss,fatigue,increased thirst,blurred vision,frequent urination",High
Diabetes,"increased appetite,increased thirst,blurred vision,fatigue,frequent urination,weight loss",High
Diabetes,"frequent urination,weight loss,increased thirst,increased appetite,fatigue",High
Diabetes,"increased thirst,blurred vision,frequent urination,weight loss,increased appetite",High
Diabetes,"increased thirst,frequent urination,increased appetite,weight loss,fatigue",High
Diabetes,"weight loss,frequent urination,increased thirst,blurred vision,increased appetite,fatigue",High
Diabetes,"fatigue,increased thirst,frequent urination",High
Diabetes,"increased thirst,frequent urination,weight loss,blurred vision",High
Diabetes,"frequent urination,increased thirst,weight loss,increased appetite,blurred vision,fatigue",High
Diabetes,"frequent urination,blurred vision,increased appetite,increased thirst",High
Diabetes,"weight loss,blurred vision,frequent urination,increased thirst",High
Diabetes,"frequent urination,blurred vision,increased appetite,fatigue,increased thirst,weight loss",High
Diabetes,"fatigue,blurred vision,frequent urination,increased thirst",High
Diabetes,"blurred vision,frequent urination,increased thirst,increased appetite",High
Diabetes,"fatigue,frequent urination,increased appetite,increased thirst,blurred vision",High
Diabetes,"weight loss,blurred vision,increased thirst,fatigue,frequent urination",High
Diabetes,"frequent urination,blurred vision,increased thirst",High
Diabetes,"increased thirst,frequent urination,increased appetite,weight loss",High
Diabetes,"frequent urination,blurred vision,increased thirst,weight loss,increased appetite,fatigue",High
Diabetes,"fatigue,frequent urination,weight loss,increased thirst,increased appetite",High
Diabetes,"increased appetite,frequent urination,increased thirst,blurred vision",High
Diabetes,"increased appetite,increased thirst,fatigue,frequent urination,weight loss,blurred vision",High
Diabetes,"frequent urination,increased appetite,fatigue,increased thirst,weight loss,blurred vision",High
Diabetes,"frequent urination,increased thirst,fatigue",High
Diabetes,"frequent urination,fatigue,increased thirst",High
Diabetes,"frequent urination,increased thirst,fatigue,blurred vision",High
Diabetes,"blurred vision,weight loss,increased thirst,frequent urination",High
Anemia,"dizziness,fatigue,shortness of breath,cold hands,pale skin,weakness",Medium
Anemia,"pale skin,fatigue,weakness",Medium
Anemia,"fatigue,shortness of breath,weakness,dizziness,cold hands,pale skin",Medium
Anemia,"fatigue,weakness,pale skin",Medium
Anemia,"pale skin,weakness,fatigue,cold hands",Medium
Anemia,"cold hands,weakness,fatigue,dizziness,shortness of breath,pale skin",Medium
Anemia,"weakness,fatigue,pale skin,cold hands",Medium
Anemia,"cold hands,weakness,pale skin,dizziness,fatigue",Medium
Anemia,"weakness,dizziness,cold hands,fatigue,shortness of breath,pale skin",Medium
Anemia,"dizziness,pale skin,fatigue",Medium
Anemia,"pale skin,fatigue,shortness of breath",Medium
Anemia,"weakness,shortness of breath,fatigue,pale skin,dizziness",Medium
Anemia,"pale skin,shortness of breath,cold hands,fatigue",Medium
Anemia,"shortness of breath,fatigue,pale skin",Medium
Anemia,"shortness of breath,dizziness,fatigue,pale skin",Medium
Anemia,"fatigue,cold hands,shortness of breath,dizziness,weakness,pale skin",Medium
Anemia,"fatigue,cold hands,weakness,dizziness,pale skin",Medium
Anemia,"cold hands,fatigue,shortness of breath,dizziness,weakness,pale skin",Medium
Anemia,"dizziness,pale skin,cold hands,fatigue,shortness of breath,weakness",Medium
Anemia,"shortness of breath,dizziness,fatigue,weakness,pale skin",Medium
Anemia,"pale skin,fatigue,dizziness",Medium
Anemia,"dizziness,fatigue,pale skin",Medium
Anemia,"weakness,shortness of breath,dizziness,pale skin,fatigue",Medium
Anemia,"pale skin,cold hands,shortness of breath,fatigue",Medium
Anemia,"pale skin,fatigue,cold hands,weakness",Medium
Anemia,"fatigue,weakness,pale skin",Medium
Anemia,"pale skin,weakness,fatigue,shortness of breath,cold hands",Medium
Anemia,"pale skin,cold hands,dizziness,fatigue",Medium
Anemia,"fatigue,shortness of breath,weakness,dizziness,pale skin",Medium
Anemia,"dizziness,shortness of breath,cold hands,fatigue,pale skin",Medium
Anemia,"pale skin,weakness,fatigue",Medium
Anemia,"shortness of breath,fatigue,weakness,pale skin",Medium
Anemia,"fatigue,dizziness,cold hands,pale skin,weakness",Medium
Anemia,"shortness of breath,cold hands,fatigue,weakness,pale skin",Medium
Anemia,"fatigue,shortness of breath,cold hands,dizziness,pale skin",Medium
Anemia,"weakness,dizziness,fatigue,shortness of breath,pale skin,cold hands",Medium
Anemia,"shortness of breath,dizziness,pale skin,weakness,fatigue",Medium
Anemia,"fatigue,pale skin,shortness of breath,dizziness,weakness,cold hands",Medium
Anemia,"cold hands,fatigue,pale skin,shortness of breath",Medium
Anemia,"pale skin,fatigue,dizziness",Medium
Anemia,"dizziness,cold hands,weakness,fatigue,pale skin,shortness of breath",Medium
Anemia,"fatigue,pale skin,weakness",Medium
Anemia,"fatigue,cold hands,shortness of breath,pale skin",Medium
Anemia,"dizziness,pale skin,cold hands,fatigue,shortness of breath",Medium
Anemia,"pale skin,shortness of breath,fatigue,cold hands",Medium
Anemia,"weakness,fatigue,shortness of breath,cold hands,pale skin,dizziness",Medium
Anemia,"weakness,pale skin,fatigue,shortness of breath",Medium
Anemia,"pale skin,fatigue,dizziness",Medium
Anemia,"cold hands,pale skin,weakness,fatigue,shortness of breath,dizziness",Medium
Anemia,"cold hands,fatigue,weakness,dizziness,shortness of breath,pale skin",Medium
Chickenpox,"skin rash,itching,loss of appetite,blisters,fever",Medium
Chickenpox,"fatigue,itching,blisters,skin rash",Medium
Chickenpox,"blisters,fatigue,skin rash,itching",Medium
Chickenpox,"itching,fever,blisters,skin rash",Medium
Chickenpox,"skin rash,itching,blisters,fever",Medium
Chickenpox,"skin rash,fever,loss of appetite,fatigue,blisters,itching",Medium
Chickenpox,"skin rash,blisters,itching,fatigue",Medium
Chickenpox,"loss of appetite,skin rash,fatigue,fever,itching,blisters",Medium
Chickenpox,"blisters,skin rash,fatigue,loss of appetite,fever,itching",Medium
Chickenpox,"itching,blisters,skin rash,fatigue,fever",Medium
Chickenpox,"blisters,itching,skin rash,loss of appetite,fever,fatigue",Medium
Chickenpox,"itching,blisters,fatigue,skin rash,fever",Medium
Chickenpox,"skin rash,itching,loss of appetite,blisters,fever,fatigue",Medium
Chickenpox,"blisters,fever,skin rash,loss of appetite,itching",Medium
Chickenpox,"skin rash,fever,itching,blisters,loss of appetite,fatigue",Medium
Chickenpox,"blisters,itching,loss of appetite,skin rash,fatigue",Medium
Chickenpox,"fever,itching,loss of appetite,blisters,fatigue,skin rash",Medium
Chickenpox,"itching,skin rash,fever,blisters,loss of appetite",Medium
Chickenpox,"itching,loss of appetite,blisters,skin rash",Medium
Chickenpox,"itching,fever,skin rash,blisters",Medium
Chickenpox,"itching,fatigue,loss of appetite,blisters,skin rash",Medium
Chickenpox,"skin rash,fatigue,itching,blisters,fever",Medium
Chickenpox,"fever,loss of appetite,itching,skin rash,blisters",Medium
Chickenpox,"itching,fever,skin rash,blisters,fatigue",Medium
Chickenpox,"itching,fatigue,loss of appetite,fever,blisters,skin rash",Medium
Chickenpox,"blisters,skin rash,fatigue,loss of appetite,itching",Medium
Chickenpox,"loss of appetite,fatigue,itching,skin rash,fever,blisters",Medium
Chickenpox,"blisters,loss of appetite,itching,skin rash",Medium
Chickenpox,"skin rash,blisters,fever,itching",Medium
Chickenpox,"skin rash,blisters,fever,itching",Medium
Chickenpox,"fatigue,skin rash,itching,blisters",Medium
Chickenpox,"itching,skin rash,blisters,loss of appetite",Medium
Chickenpox,"fatigue,itching,blisters,skin rash,loss of appetite",Medium
Chickenpox,"fatigue,itching,blisters,loss of appetite,fever,skin rash",Medium
Chickenpox,"blisters,fever,itching,skin rash",Medium
Chickenpox,"itching,blisters,fever,skin rash",Medium
Chickenpox,"blisters,loss of appetite,itching,skin rash",Medium
Chickenpox,"itching,loss of appetite,fever,skin rash,fatigue,blisters",Medium
Chickenpox,"itching,loss of appetite,blisters,skin rash,fever",Medium
Chickenpox,"itching,skin rash,blisters,fatigue",Medium
Chickenpox,"itching,fever,fatigue,blisters,loss of appetite,skin rash",Medium
Chickenpox,"itching,loss of appetite,blisters,skin rash",Medium
Chickenpox,"blisters,itching,fever,skin rash",Medium
Chickenpox,"skin rash,blisters,fever,itching,loss of appetite",Medium
Chickenpox,"blisters,itching,loss of appetite,fatigue,skin rash,fever",Medium
Chickenpox,"skin rash,fever,itching,loss of appetite,blisters",Medium
Chickenpox,"skin rash,loss of appetite,fatigue,itching,blisters,fever",Medium
Chickenpox,"fatigue,itching,skin rash,loss of appetite,blisters",Medium
Chickenpox,"blisters,skin rash,itching,fever",Medium
Chickenpox,"fatigue,skin rash,itching,blisters",Medium
Measles,"fever,cough,skin rash,red eyes,runny nose,sore throat",High
Measles,"sore throat,fever,red eyes,skin rash,runny nose,cough",High
Measles,"red eyes,runny nose,skin rash,cough,sore throat,fever",High
Measles,"red eyes,fever,sore throat,skin rash",High
Measles,"skin rash,fever,cough,red eyes",High
Measles,"sore throat,fever,red eyes,cough,skin rash",High
Measles,"cough,fever,red eyes,sore throat,skin rash",High
Measles,"cough,sore throat,fever,skin rash,red eyes",High
Measles,"fever,sore throat,skin rash,red eyes",High
Measles,"sore throat,skin rash,runny nose,fever,cough,red eyes",High
Measles,"fever,sore throat,skin rash,cough,red eyes",High
Measles,"red eyes,runny nose,skin rash,fever",High
Measles,"runny nose,skin rash,cough,fever,sore throat,red eyes",High
Measles,"fever,runny nose,red eyes,skin rash",High
Measles,"skin rash,red eyes,sore throat,fever",High
Measles,"sore throat,fever,skin rash,red eyes,cough",High
Measles,"runny nose,fever,sore throat,cough,skin rash,red eyes",High
Measles,"fever,skin rash,red eyes,cough,sore throat",High
Measles,"cough,skin rash,red eyes,runny nose,fever",High
Measles,"skin rash,fever,cough,sore throat,red eyes",High
Measles,"cough,fever,runny nose,red eyes,skin rash",High
Measles,"red eyes,sore throat,skin rash,fever",High
Measles,"red eyes,sore throat,runny nose,fever,skin rash,cough",High
Measles,"red eyes,skin rash,runny nose,fever,sore throat",High
Measles,"sore throat,fever,red eyes,skin rash",High
Measles,"fever,skin rash,red eyes,runny nose",High
Measles,"red eyes,fever,runny nose,skin rash",High
Measles,"red eyes,skin rash,sore throat,fever",High
Measles,"fever,cough,skin rash,red eyes",High
Measles,"runny nose,red eyes,fever,cough,sore throat,skin rash",High
Measles,"cough,fever,red eyes,skin rash",High
Measles,"sore throat,fever,red eyes,skin rash,cough",High
Measles,"skin rash,runny nose,fever,red eyes",High
Measles,"fever,skin rash,cough,red eyes",High
Measles,"runny nose,red eyes,sore throat,fever,skin rash",High
Measles,"skin rash,cough,fever,red eyes",High
Measles,"red eyes,skin rash,runny nose,fever,cough,sore throat",High
Measles,"fever,skin rash,sore throat,red eyes,cough,runny nose",High
Measles,"fever,cough,runny nose,skin rash,red eyes",High
Measles,"skin rash,fever,sore throat,cough,red eyes",High
Measles,"fever,sore throat,cough,runny nose,skin rash,red eyes",High
Measles,"red eyes,skin rash,cough,fever,sore throat",High
Measles,"skin rash,red eyes,fever,sore throat",High
Measles,"cough,sore throat,skin rash,red eyes,runny nose,fever",High
Measles,"cough,fever,red eyes,skin rash",High
Measles,"cough,fever,skin rash,runny nose,sore throat,red eyes",High
Measles,"sore throat,skin rash,runny nose,red eyes,fever",High
Measles,"sore throat,red eyes,skin rash,fever,cough",High
Measles,"red eyes,skin rash,fever,sore throat",High
Measles,"fever,red eyes,skin rash,runny nose,sore throat",High
Mumps,"loss of appetite,swollen glands,fever,fatigue,muscle pain,headache",Medium
Mumps,"headache,fatigue,muscle pain,loss of appetite,fever,swollen glands",Medium
Mumps,"fever,loss of appetite,muscle pain,fatigue,headache,swollen glands",Medium
Mumps,"fever,loss of appetite,swollen glands",Medium
Mumps,"fever,headache,swollen glands",Medium
Mumps,"muscle pain,fatigue,headache,loss of appetite,fever,swollen glands",Medium
Mumps,"swollen glands,fatigue,fever",Medium
Mumps,"fever,swollen glands,headache",Medium
Mumps,"headache,swollen glands,fever",Medium
Mumps,"fever,swollen glands,loss of appetite",Medium
Mumps,"swollen glands,fatigue,fever",Medium
Mumps,"fever,loss of appetite,swollen glands,muscle pain,headache,fatigue",Medium
Mumps,"muscle pain,swollen glands,headache,fatigue,fever,loss of appetite",Medium
Mumps,"muscle pain,fatigue,loss of appetite,fever,swollen glands",Medium
Mumps,"headache,fever,swollen glands,loss of appetite,muscle pain",Medium
Mumps,"fatigue,fever,swollen glands,headache",Medium
Mumps,"fatigue,swollen glands,fever",Medium
Mumps,"fever,swollen glands,headache,fatigue",Medium
Mumps,"fever,swollen glands,loss of appetite",Medium
Mumps,"fatigue,swollen glands,headache,muscle pain,fever",Medium
Mumps,"fever,swollen glands,loss of appetite,fatigue,headache,muscle pain",Medium
Mumps,"fever,muscle pain,loss of appetite,swollen glands,fatigue,headache",Medium
Mumps,"loss of appetite,swollen glands,fever,muscle pain",Medium
Mumps,"fatigue,fever,swollen glands,muscle pain",Medium
Mumps,"fever,loss of appetite,swollen glands",Medium
Mumps,"muscle pain,fever,swollen glands,headache,loss of appetite",Medium
Mumps,"headache,fatigue,fever,swollen glands,muscle pain",Medium
Mumps,"headache,fatigue,fever,swollen glands",Medium
Mumps,"headache,muscle pain,fever,fatigue,swollen glands",Medium
Mumps,"muscle pain,loss of appetite,fever,fatigue,headache,swollen glands",Medium
Mumps,"fever,headache,fatigue,loss of appetite,muscle pain,swollen glands",Medium
Mumps,"fatigue,muscle pain,headache,fever,loss of appetite,swollen glands",Medium
Mumps,"loss of appetite,fever,muscle pain,headache,fatigue,swollen glands",Medium
Mumps,"muscle pain,fever,swollen glands",Medium
Mumps,"swollen glands,fever,headache",Medium
Mumps,"fatigue,loss of appetite,swollen glands,fever,headache",Medium
Mumps,"loss of appetite,swollen glands,muscle pain,fever,fatigue,headache",Medium
Mumps,"headache,fever,swollen glands,muscle pain,loss of appetite,fatigue",Medium
Mumps,"headache,loss of appetite,fatigue,fever,swollen glands",Medium
Mumps,"loss of appetite,fever,swollen glands,fatigue",Medium
Mumps,"fever,muscle pain,swollen glands",Medium
Mumps,"muscle pain,swollen glands,fever,headache",Medium
Mumps,"fever,loss of appetite,swollen glands",Medium
Mumps,"loss of appetite,muscle pain,swollen glands,fever",Medium
Mumps,"muscle pain,loss of appetite,fever,swollen glands,fatigue",Medium
Mumps,"fever,fatigue,swollen glands",Medium
Mumps,"muscle pain,fever,swollen glands",Medium
Mumps,"fatigue,loss of appetite,fever,headache,swollen glands",Medium
Mumps,"muscle pain,swollen glands,fever,headache,fatigue",Medium
Mumps,"headache,fever,swollen glands,fatigue,loss of appetite",Medium
Hepatitis A,"vomiting,dark urine,jaundice,fatigue",High
Hepatitis A,"jaundice,dark urine,abdominal pain",High
Hepatitis A,"jaundice,dark urine,abdominal pain",High
Hepatitis A,"abdominal pain,jaundice,dark urine,nausea",High
Hepatitis A,"dark urine,jaundice,fatigue",High
Hepatitis A,"abdominal pain,dark urine,fatigue,nausea,jaundice,vomiting",High
Hepatitis A,"dark urine,nausea,jaundice",High
Hepatitis A,"fatigue,dark urine,jaundice",High
Hepatitis A,"dark urine,vomiting,jaundice,fatigue",High
Hepatitis A,"dark urine,nausea,abdominal pain,jaundice,fatigue,vomiting",High
Hepatitis A,"dark urine,abdominal pain,jaundice",High
Hepatitis A,"jaundice,abdominal pain,nausea,dark urine",High
Hepatitis A,"jaundice,dark urine,vomiting",High
Hepatitis A,"jaundice,dark urine,nausea",High
Hepatitis A,"jaundice,dark urine,vomiting",High
Hepatitis A,"dark urine,jaundice,abdominal pain,vomiting,nausea,fatigue",High
Hepatitis A,"jaundice,nausea,fatigue,vomiting,dark urine",High
Hepatitis A,"abdominal pain,dark urine,vomiting,jaundice,nausea,fatigue",High
Hepatitis A,"nausea,dark urine,jaundice,fatigue,abdominal pain",High
Hepatitis A,"jaundice,fatigue,vomiting,dark urine,abdominal pain",High
Hepatitis A,"abdominal pain,jaundice,fatigue,vomiting,dark urine,nausea",High
Hepatitis A,"vomiting,dark urine,jaundice",High
Hepatitis A,"fatigue,jaundice,dark urine,nausea",High
Hepatitis A,"fatigue,dark urine,jaundice",High
Hepatitis A,"dark urine,jaundice,nausea,vomiting",High
Hepatitis A,"fatigue,vomiting,abdominal pain,jaundice,nausea,dark urine",High
Hepatitis A,"fatigue,abdominal pain,nausea,dark urine,jaundice",High
Hepatitis A,"jaundice,nausea,dark urine,vomiting",High
Hepatitis A,"vomiting,abdominal pain,dark urine,nausea,jaundice",High
Hepatitis A,"fatigue,dark urine,jaundice",High
Hepatitis A,"dark urine,vomiting,jaundice",High
Hepatitis A,"nausea,abdominal pain,fatigue,jaundice,vomiting,dark urine",High
Hepatitis A,"jaundice,vomiting,nausea,fatigue,dark urine",High
Hepatitis A,"nausea,dark urine,jaundice",High
Hepatitis A,"jaundice,dark urine,vomiting,fatigue",High
Hepatitis A,"dark urine,nausea,vomiting,jaundice,fatigue",High
Hepatitis A,"fatigue,jaundice,nausea,dark urine",High
Hepatitis A,"jaundice,dark urine,fatigue,vomiting,abdominal pain",High
Hepatitis A,"fatigue,abdominal pain,vomiting,jaundice,dark urine",High
Hepatitis A,"fatigue,nausea,dark urine,jaundice,vomiting,abdominal pain",High
Hepatitis A,"fatigue,nausea,abdominal pain,vomiting,jaundice,dark urine",High
Hepatitis A,"dark urine,abdominal pain,nausea,jaundice",High
